Sample_Name,Site_ID,Collection_Date,D_2H,D_2H_StDev,D_18O,D_18O_StDev
1542,DC-LG-1542,4/25/2023,-123.917753,1.88E+00,-16.519439,1.41E-01
1547,DC-C2E-1547,4/25/2023,-124.233097,1.59E+00,-16.462709,3.04E-01
1550,DC-C2M-1550,4/25/2023,-125.345275,7.58E-01,-16.818553,6.32E-02
1553,DC-C1WSP-1553,4/25/2023,-123.848263,1.59E+00,-16.545089,2.25E-01
1556,DC-C1W-1556,4/25/2023,-125.085249,1.67E-01,-16.739272,1.74E-01
1559,DC-C1E-1559,4/25/2023,-125.006872,1.58E+00,-16.913903,1.21E-01
1562,DC-LR-1562,4/25/2023,-123.84745,4.69E-01,-16.723087,2.11E-01
1565,DC-MR-1565,4/25/2023,-122.459424,6.04E-01,-16.692256,9.05E-02
1568,DC-UR-1568,4/25/2023,-123.108955,1.29E+00,-16.617825,2.36E-01
1571,DC-LG-1571,5/11/2023,-124.159349,1.84E+00,-16.91165,4.20E-01
1576,DC-C2E-1576,5/11/2023,-124.09374,9.33E-01,-16.685396,2.19E-01
1579,DC-C2M-1579,5/11/2023,-126.370575,1.46E+00,-16.551698,3.29E-01
1582,DC-C1WSP-1582,5/11/2023,-125.59373,7.32E-01,-16.445702,7.95E-02
1585,DC-C1W-1585,5/11/2023,-126.434771,3.98E-01,-16.750711,1.04E-01
1588,DC-C1E-1588,5/11/2023,-125.342332,2.52E+00,-16.79432,4.11E-01
1591,DC-LR-1591,5/11/2023,-124.978335,6.73E-01,-16.704505,4.53E-02
1594,DC-MR-1594,5/11/2023,-126.515373,6.88E-01,-16.898051,1.96E-01
1597,DC-UR-1597,5/11/2023,-125.546249,1.30E+00,-16.826095,7.45E-02
1600,DC-LG-1600,5/25/2023,-123.989892,8.24E-01,-16.375425,1.67E-01
1605,DC-C2E-1605,5/25/2023,-122.904922,4.83E-01,-16.237666,1.20E-01
1608,DC-C2M-1608,5/25/2023,-123.575051,1.73E+00,-16.449515,3.52E-01
1640,DC-C1WSP-1640,6/6/2023,-122.836133,1.42E+00,-16.118643,2.58E-01
1643,DC-C1W-1643,6/6/2023,-122.880456,8.17E-01,-16.446093,2.70E-01
1646,DC-C1E-1646,6/6/2023,-122.568848,2.19E+00,-16.524717,3.59E-01
1649,DC-LR-1649,6/6/2023,-121.897184,8.38E-01,-16.523393,1.47E-01
1652,DC-MR-1652,6/6/2023,-122.332497,1.04E+00,-16.458414,5.81E-01
1655,DC-UR-1655,6/6/2023,-122.734114,1.67E+00,-16.512593,4.51E-01
1658,DC-LG-1658,6/19/2023,-119.887463,1.78E+00,-16.323308,4.19E-01
1663,DC-C2E-1663,6/19/2023,-119.776053,1.55E+00,-16.25502,2.45E-01
1666,DC-C2M-1666,6/19/2023,-121.680299,1.84E+00,-16.205907,3.14E-01
1669,DC-C1WSP-1669,6/19/2023,-120.31783,2.64E+00,-16.212966,1.41E-01
1672,DC-C1W-1672,6/19/2023,-119.549297,1.81E+00,-15.909404,4.12E-01
1675,DC-C1E-1675,6/19/2023,-121.538167,7.92E-01,-16.565911,1.05E-01
1678,DC-LR-1678,6/19/2023,-120.54841,1.23E+00,-15.850899,2.74E-01
1681,DC-MR-1681,6/19/2023,-121.188312,5.31E-01,-16.191054,2.67E-01
1684,DC-UR-1684,6/19/2023,-120.867748,5.48E-01,-16.108734,1.27E-01
1687,DC-LG-1687,7/3/2023,-120.452118,4.17E-01,-15.84901,8.97E-02
1692,DC-C2E-1692,7/3/2023,-121.826437,4.11E-01,-16.375307,2.75E-01
1695,DC-C2M-1695,7/3/2023,-122.110515,4.85E-01,-16.492156,2.76E-01
1698,DC-C1WSP-1698,7/3/2023,-121.845512,1.07E+00,-16.440418,1.55E-01
1701,DC-C1W-1701,7/3/2023,-119.614388,1.35E+00,-16.122687,3.76E-01
1704,DC-C1E-1704,7/3/2023,-120.166024,8.58E-01,-16.238661,3.07E-01
1707,DC-LR-1707,7/3/2023,-120.026482,2.98E+00,-16.214195,1.81E-01
1710,DC-MR-1710,7/3/2023,-120.095856,1.56E+00,-15.90221,3.56E-01
1712,DC-UR-1712,7/3/2023,-121.201347,7.44E-01,-16.194647,2.66E-01
1716,DC-LG-1716,7/17/2023,-118.560611,1.84E+00,-15.855795,3.18E-01
1721,DC-C2E-1721,7/17/2023,-120.387785,1.47E+00,-16.129307,2.76E-01
1724,DC-C2M-1724,7/17/2023,-118.932648,2.61E+00,-16.008875,1.79E-01
1727,DC-C1WSP-1727,7/17/2023,-122.064683,1.79E+00,-16.373935,3.49E-01
1733,DC-C1E-1733,7/17/2023,-120.554624,3.09E+00,-16.388821,3.66E-01
1736,DC-LR-1736,7/17/2023,-119.941488,2.66E+00,-15.957063,5.75E-01
1739,DC-MR-1739,7/17/2023,-120.553975,3.99E-01,-16.025874,1.00E-01
1742,DC-UR-1742,7/17/2023,-120.463822,7.15E-01,-16.282848,1.23E-01
1745,DC-LG-1745,8/2/2023,-119.375312,2.22E+00,-15.822237,3.26E-01
1750,DC-C2E-1750,8/2/2023,-119.855176,3.38E+00,-15.848597,5.58E-01
1753,DC-C2M-1753,8/2/2023,-121.163891,1.41E+00,-16.143744,2.31E-01
1756,DC-C1WSP-1756,8/2/2023,-122.666364,1.17E+00,-16.3381,2.28E-01
1762,DC-C1E-1762,8/2/2023,-120.573365,2.53E+00,-16.283784,4.59E-01
1765,DC-LR-1765,8/2/2023,-119.485676,1.55E+00,-15.984484,2.22E-01
1768,DC-MR-1768,8/2/2023,-120.982927,1.46E+00,-16.140539,3.04E-01
1771,DC-UR-1771,8/2/2023,-121.309564,1.41E+00,-16.180414,3.24E-01
1774,DC-LG-1774,8/17/2023,-118.19022,5.31E-01,-15.472559,-6.393275
1779,DC-C2E-1779,8/17/2023,-118.860331,6.91E-01,-15.721232,-6.326051
1782,DC-C2M-1782,8/17/2023,-116.587017,9.45E-01,-15.896475,-6.264975
